report_id,date,state,lga,community,category,description,severity_1to5,urgency_1to5,num_affected_est,evidence_type,evidence_confidence,verification_status,ai_confidence,risk_score,response_status,resolution_date,reporter_anonymous,is_demo_data
LMP-00120,2026-05-10,Enugu,Enugu East,Enugu East Community 6,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,4,5,3000,text_only,0.5,Unverified,0.73,16.0,Resolved,2026-06-13,True,True
LMP-00121,2026-07-06,Enugu,Nsukka,Nsukka Community 6,Water Infrastructure,My community has not had water for 6 weeks and the borehole project announced last year has not been completed.,3,4,300,text_only,0.5,Needs Corroboration,0.92,3.1,In Progress,,True,True
LMP-00122,2026-06-09,Plateau,Jos South,Jos South Community 1,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,1,5,300,photo,0.9,Corroborated,0.8,2.3,No Action Yet,,True,True
LMP-00123,2026-05-02,Rivers,Port Harcourt,Port Harcourt Community 7,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",5,2,1200,text_only,0.5,Unverified,0.64,4.4,Under Review,,False,True
LMP-00124,2026-05-25,Rivers,Ikwerre,Ikwerre Community 9,Road/Transport Infrastructure,"Bridge construction stopped 11 months ago, commuters now risk crossing on foot.",2,5,300,text_only,0.5,Needs Corroboration,0.8,2.6,Under Review,,True,True
LMP-00125,2026-02-28,Borno,Maiduguri,Maiduguri Community 6,Safety/Security Concern,"There have been 8 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,1,3000,photo,0.9,High-Confidence,0.86,5.8,Referred to Authority,,True,True
LMP-00126,2026-02-22,Cross River,Calabar South,Calabar South Community 3,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,1,5,40,photo,0.9,Needs Corroboration,0.78,1.9,Under Review,,False,True
LMP-00127,2026-03-29,Anambra,Nnewi North,Nnewi North Community 8,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",2,3,3000,text_only,0.5,Unverified,0.73,4.8,Resolved,2026-05-07,True,True
LMP-00128,2026-05-24,Kaduna,Zaria,Zaria Community 8,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 6 months ago.,4,3,300,text_only,0.5,Needs Corroboration,0.87,3.1,Under Review,,True,True
LMP-00129,2026-02-21,Kaduna,Kaduna North,Kaduna North Community 9,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,1,3,40,voice_note,0.7,Unverified,0.78,0.9,Under Review,,True,True
LMP-00130,2026-04-16,Anambra,Nnewi North,Nnewi North Community 5,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 11 accidents reported.",3,2,15,text_only,0.5,Corroborated,0.81,1.2,No Action Yet,,True,True
LMP-00131,2026-01-16,Borno,Maiduguri,Maiduguri Community 3,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,4,3000,text_only,0.5,Unverified,0.89,9.6,No Action Yet,,True,True
LMP-00132,2026-03-16,Cross River,Calabar Municipal,Calabar Municipal Community 9,Water Infrastructure,My community has not had water for 8 weeks and the borehole project announced last year has not been completed.,4,1,1200,text_only,0.5,Corroborated,0.69,1.8,In Progress,,True,True
LMP-00133,2026-02-11,Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun Community 2,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,4,80,video,0.95,Unverified,0.79,6.6,No Action Yet,,False,True
LMP-00134,2026-03-25,Kaduna,Zaria,Zaria Community 3,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,2,80,text_only,0.5,Needs Corroboration,0.85,1.3,Under Review,,True,True
LMP-00135,2026-05-30,Plateau,Barkin Ladi,Barkin Ladi Community 2,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 9 accidents reported.",4,1,300,voice_note,0.7,Unverified,0.78,1.5,Under Review,,True,True
LMP-00136,2026-06-26,Kaduna,Zaria,Zaria Community 6,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 12 months ago.,4,2,1200,text_only,0.5,Conflicting Reports,0.95,3.5,In Progress,,True,True
LMP-00137,2026-06-20,Kaduna,Kaduna South,Kaduna South Community 4,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 9 months ago.,4,5,600,voice_note,0.7,Needs Corroboration,0.82,9.0,Referred to Authority,,True,True
LMP-00138,2026-02-08,Enugu,Nsukka,Nsukka Community 2,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,2,5,40,photo,0.9,Needs Corroboration,0.82,3.7,Referred to Authority,,True,True
LMP-00139,2026-01-15,Oyo,Egbeda,Egbeda Community 8,Electricity/Power,We have had no electricity supply for 11 days despite paying our estimated bills.,2,5,3000,text_only,0.5,Needs Corroboration,0.78,8.0,Under Review,,False,True
LMP-00140,2026-08-17,Kaduna,Zaria,Zaria Community 1,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,1,1,15,voice_note,0.7,Needs Corroboration,0.87,0.3,No Action Yet,,True,True
LMP-00141,2026-04-07,Borno,Maiduguri,Maiduguri Community 5,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,3,4,600,none,0.3,Conflicting Reports,0.76,2.3,Resolved,2026-04-17,True,True
LMP-00142,2026-04-19,Oyo,Ibadan North,Ibadan North Community 3,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,3,2,15,text_only,0.5,Needs Corroboration,0.97,1.2,In Progress,,False,True
LMP-00143,2026-01-05,Enugu,Enugu East,Enugu East Community 8,Safety/Security Concern,"There have been 6 reported cases of armed robbery on this road at night, no police patrol has been seen.",5,1,15,text_only,0.5,Corroborated,0.77,1.0,In Progress,,True,True
LMP-00144,2026-08-10,Enugu,Enugu East,Enugu East Community 2,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,5,1,150,text_only,0.5,Unverified,0.76,1.1,No Action Yet,,True,True
LMP-00145,2026-03-18,Rivers,Ikwerre,Ikwerre Community 5,Healthcare Access,"Community clinic promised in September has still not been built, pregnant women travel far for care.",5,3,150,voice_note,0.7,Corroborated,0.67,4.8,No Action Yet,,True,True
LMP-00146,2026-05-18,Lagos,Eti-Osa,Eti-Osa Community 3,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,3,4,600,text_only,0.5,Unverified,0.77,3.8,No Action Yet,,False,True
LMP-00147,2026-04-26,Enugu,Enugu East,Enugu East Community 5,Road/Transport Infrastructure,"Bridge construction stopped 2 months ago, commuters now risk crossing on foot.",3,4,80,voice_note,0.7,Needs Corroboration,0.71,3.6,No Action Yet,,True,True
LMP-00148,2026-02-23,Kano,Fagge,Fagge Community 1,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,1,150,text_only,0.5,Corroborated,0.83,0.5,No Action Yet,,True,True
LMP-00149,2026-05-17,Kaduna,Kaduna North,Kaduna North Community 4,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 9 months ago.,5,2,1200,none,0.3,Corroborated,0.82,2.6,Under Review,,True,True
LMP-00150,2026-02-26,Kaduna,Kaduna South,Kaduna South Community 6,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,3,4,600,none,0.3,Needs Corroboration,0.75,2.3,Referred to Authority,,True,True
LMP-00151,2026-03-28,Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun Community 9,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,3,2,1200,text_only,0.5,Needs Corroboration,0.71,2.6,Resolved,2026-04-18,False,True
LMP-00152,2026-01-13,Borno,Jere,Jere Community 3,Safety/Security Concern,"There have been 4 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,2,15,text_only,0.5,Unverified,0.92,1.6,In Progress,,True,True
LMP-00153,2026-05-05,Plateau,Jos North,Jos North Community 4,Electricity/Power,We have had no electricity supply for 2 days despite paying our estimated bills.,3,3,15,text_only,0.5,Corroborated,0.86,1.8,Under Review,,True,True
LMP-00154,2026-08-21,Lagos,Eti-Osa,Eti-Osa Community 9,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,3,5,300,photo,0.9,Corroborated,0.91,7.0,In Progress,,True,True
LMP-00155,2026-03-04,Kano,Nassarawa,Nassarawa Community 9,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 5 accidents reported.",3,3,300,text_only,0.5,High-Confidence,0.65,2.3,Under Review,,True,True
LMP-00156,2026-06-15,Kaduna,Zaria,Zaria Community 2,Water Infrastructure,My community has not had water for 8 weeks and the borehole project announced last year has not been completed.,3,4,15,text_only,0.5,Unverified,0.87,2.4,In Progress,,True,True
LMP-00157,2026-05-25,Cross River,Calabar Municipal,Calabar Municipal Community 9,Water Infrastructure,My community has not had water for 5 weeks and the borehole project announced last year has not been completed.,4,4,300,photo,0.9,High-Confidence,0.65,7.5,In Progress,,True,True
LMP-00158,2026-04-09,Rivers,Obio-Akpor,Obio-Akpor Community 1,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 8 months ago.,4,5,150,text_only,0.5,Corroborated,0.93,4.6,Referred to Authority,,True,True
LMP-00159,2026-04-26,Kano,Dala,Dala Community 1,Electricity/Power,"Transformer in our street has been faulty for 5 months, several complaints filed with no response.",3,5,1200,none,0.3,Corroborated,0.74,4.0,In Progress,,False,True
LMP-00160,2026-03-10,Enugu,Enugu North,Enugu North Community 9,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,2,4,40,text_only,0.5,Unverified,0.73,1.7,No Action Yet,,True,True
LMP-00161,2026-04-25,Plateau,Barkin Ladi,Barkin Ladi Community 3,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,1,3,3000,voice_note,0.7,Unverified,0.72,3.4,No Action Yet,,False,True
LMP-00162,2026-08-20,Kano,Nassarawa,Nassarawa Community 2,Safety/Security Concern,"There have been 11 reported cases of armed robbery on this road at night, no police patrol has been seen.",5,4,15,voice_note,0.7,Unverified,0.76,5.7,Resolved,2026-09-09,True,True
LMP-00163,2026-08-30,Plateau,Jos North,Jos North Community 3,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,1,2,1200,voice_note,0.7,Corroborated,0.73,1.2,Under Review,,True,True
LMP-00164,2026-08-09,Borno,Maiduguri,Maiduguri Community 8,Electricity/Power,We have had no electricity supply for 6 days despite paying our estimated bills.,4,3,1200,text_only,0.5,Needs Corroboration,0.74,5.3,In Progress,,True,True
LMP-00165,2026-07-21,Kaduna,Kaduna South,Kaduna South Community 4,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,3,3000,none,0.3,Needs Corroboration,0.9,5.8,No Action Yet,,False,True
LMP-00166,2026-07-23,Oyo,Ibadan North,Ibadan North Community 4,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,3,4,150,voice_note,0.7,Corroborated,0.72,3.9,In Progress,,False,True
LMP-00167,2026-08-25,Borno,Maiduguri,Maiduguri Community 5,Healthcare Access,"Community clinic promised in March has still not been built, pregnant women travel far for care.",5,4,40,voice_note,0.7,Needs Corroboration,0.84,5.8,Referred to Authority,,False,True
LMP-00168,2026-04-13,Anambra,Awka South,Awka South Community 6,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",2,3,80,text_only,0.5,High-Confidence,0.64,1.3,Referred to Authority,,True,True
LMP-00169,2026-05-09,Plateau,Jos North,Jos North Community 1,Electricity/Power,"Transformer in our street has been faulty for 5 months, several complaints filed with no response.",4,5,150,voice_note,0.7,Corroborated,0.76,6.4,Referred to Authority,,True,True
LMP-00170,2026-05-02,Oyo,Ibadan North,Ibadan North Community 8,Electricity/Power,"Transformer in our street has been faulty for 8 months, several complaints filed with no response.",2,2,600,voice_note,0.7,Unverified,0.78,1.8,Under Review,,True,True
LMP-00171,2026-02-14,Borno,Jere,Jere Community 6,Electricity/Power,"Transformer in our street has been faulty for 2 months, several complaints filed with no response.",2,3,40,text_only,0.5,High-Confidence,0.68,1.2,No Action Yet,,True,True
LMP-00172,2026-04-10,Oyo,Egbeda,Egbeda Community 7,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 8 weeks, causing serious odour and flooding risk.",2,4,1200,photo,0.9,Unverified,0.84,6.3,Referred to Authority,,True,True
LMP-00173,2026-03-22,Enugu,Enugu East,Enugu East Community 5,Electricity/Power,We have had no electricity supply for 10 days despite paying our estimated bills.,3,2,3000,photo,0.9,Needs Corroboration,0.86,8.6,Resolved,2026-05-04,False,True
LMP-00174,2026-04-06,Cross River,Calabar South,Calabar South Community 2,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",3,3,40,text_only,0.5,Unverified,0.73,1.9,No Action Yet,,True,True
LMP-00175,2026-04-26,Anambra,Onitsha North,Onitsha North Community 7,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,4,80,text_only,0.5,Unverified,0.8,3.5,Under Review,,True,True
LMP-00176,2026-01-22,Oyo,Ibadan North,Ibadan North Community 8,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 8 accidents reported.",3,4,1200,text_only,0.5,Conflicting Reports,0.77,5.3,Under Review,,True,True
LMP-00177,2026-07-30,Enugu,Enugu North,Enugu North Community 1,Education/Infrastructure,"Public school roof collapsed during the storm, 10 pupils now learn under a tree.",1,4,3000,text_only,0.5,Unverified,0.66,3.2,In Progress,,True,True
LMP-00178,2026-01-23,Anambra,Awka South,Awka South Community 8,Suspected Misuse of Public Funds,"A borehole project budgeted at a stated amount was completed but does not function, community wants transparency.",3,2,300,video,0.95,Unverified,0.63,3.0,In Progress,,False,True
LMP-00179,2026-05-17,Kano,Fagge,Fagge Community 4,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,4,5,80,text_only,0.5,Conflicting Reports,0.91,4.3,Referred to Authority,,True,True
LMP-00180,2026-03-12,Cross River,Calabar Municipal,Calabar Municipal Community 6,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,3,5,40,photo,0.9,Needs Corroboration,0.89,5.6,No Action Yet,,True,True
LMP-00181,2026-07-16,Rivers,Port Harcourt,Port Harcourt Community 3,Safety/Security Concern,"There have been 12 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,5,300,text_only,0.5,Unverified,0.76,5.2,In Progress,,True,True
LMP-00182,2026-04-12,Plateau,Barkin Ladi,Barkin Ladi Community 5,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",4,1,3000,text_only,0.5,Conflicting Reports,0.87,3.2,In Progress,,True,True
LMP-00183,2026-06-10,Plateau,Jos North,Jos North Community 8,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,2,3000,text_only,0.5,Corroborated,0.94,3.2,No Action Yet,,False,True
LMP-00184,2026-03-06,Lagos,Ikeja,Ikeja Community 3,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,2,2,300,photo,0.9,Unverified,0.96,1.9,Referred to Authority,,True,True
LMP-00185,2026-02-03,Oyo,Egbeda,Egbeda Community 3,Water Infrastructure,"The public water tap in our area has been dry since May, residents now trek 12km to fetch water.",4,2,1200,text_only,0.5,Unverified,0.87,3.5,Under Review,,True,True
LMP-00186,2026-01-27,Anambra,Nnewi North,Nnewi North Community 8,Water Infrastructure,My community has not had water for 7 weeks and the borehole project announced last year has not been completed.,4,4,80,text_only,0.5,Unverified,0.7,3.5,In Progress,,True,True
LMP-00187,2026-07-11,Oyo,Ibadan South-West,Ibadan South-West Community 3,Community Dispute,There is an ongoing land boundary dispute between two families that has led to tension in the market.,1,5,15,text_only,0.5,Needs Corroboration,0.68,1.0,No Action Yet,,True,True
LMP-00188,2026-06-15,Plateau,Barkin Ladi,Barkin Ladi Community 8,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 3 months ago.,5,5,1200,voice_note,0.7,Corroborated,0.77,15.4,No Action Yet,,True,True
LMP-00189,2026-09-02,Enugu,Nsukka,Nsukka Community 5,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,5,150,text_only,0.5,Unverified,0.73,3.5,In Progress,,True,True
LMP-00190,2026-04-04,Borno,Jere,Jere Community 2,Healthcare Access,"Community clinic promised in September has still not been built, pregnant women travel far for care.",3,1,600,none,0.3,Conflicting Reports,0.67,0.6,Referred to Authority,,True,True
LMP-00191,2026-06-29,Borno,Maiduguri,Maiduguri Community 1,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,4,1,1200,text_only,0.5,Needs Corroboration,0.85,1.8,Under Review,,False,True
LMP-00192,2026-01-17,Kano,Fagge,Fagge Community 5,Electricity/Power,"Transformer in our street has been faulty for 3 months, several complaints filed with no response.",4,2,600,voice_note,0.7,Conflicting Reports,0.85,3.6,Referred to Authority,,True,True
LMP-00193,2026-07-01,Plateau,Barkin Ladi,Barkin Ladi Community 4,Water Infrastructure,My community has not had water for 3 weeks and the borehole project announced last year has not been completed.,2,5,15,voice_note,0.7,Corroborated,0.89,2.8,No Action Yet,,True,True
LMP-00194,2026-01-17,Lagos,Alimosho,Alimosho Community 8,Safety/Security Concern,"Unknown persons have been seen surveying the area at night, residents are afraid.",3,3,40,text_only,0.5,Conflicting Reports,0.63,1.9,No Action Yet,,True,True
LMP-00195,2026-01-30,Cross River,Calabar Municipal,Calabar Municipal Community 8,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,4,2,600,photo,0.9,Conflicting Reports,0.9,4.6,Referred to Authority,,True,True
LMP-00196,2026-07-09,Anambra,Awka South,Awka South Community 1,Water Infrastructure,My community has not had water for 2 weeks and the borehole project announced last year has not been completed.,3,2,80,none,0.3,Needs Corroboration,0.93,0.8,Resolved,2026-08-24,False,True
LMP-00197,2026-01-18,Enugu,Enugu North,Enugu North Community 4,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,2,1,15,photo,0.9,High-Confidence,0.91,0.7,Resolved,2026-02-21,True,True
LMP-00198,2026-07-17,Kaduna,Kaduna South,Kaduna South Community 2,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,1,5,300,text_only,0.5,Needs Corroboration,0.71,1.3,Resolved,2026-09-09,True,True
LMP-00199,2026-01-27,Anambra,Awka South,Awka South Community 3,Water Infrastructure,"The public water tap in our area has been dry since March, residents now trek 2km to fetch water.",3,1,600,photo,0.9,Conflicting Reports,0.86,1.7,In Progress,,True,True
LMP-00200,2026-09-07,Anambra,Awka South,Awka South Community 7,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 4 weeks, causing serious odour and flooding risk.",2,1,150,video,0.95,Corroborated,0.81,0.9,Under Review,,True,True
LMP-00201,2026-06-29,Cross River,Calabar Municipal,Calabar Municipal Community 9,Road/Transport Infrastructure,"Bridge construction stopped 3 months ago, commuters now risk crossing on foot.",3,4,80,photo,0.9,Needs Corroboration,0.71,4.7,In Progress,,True,True
LMP-00202,2026-05-18,Oyo,Ibadan South-West,Ibadan South-West Community 5,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 5 months ago.,5,5,40,photo,0.9,Needs Corroboration,0.68,9.4,Under Review,,True,True
LMP-00203,2026-09-05,Enugu,Enugu North,Enugu North Community 5,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,2,3,15,photo,0.9,Unverified,0.93,2.2,In Progress,,True,True
LMP-00204,2026-01-16,Plateau,Barkin Ladi,Barkin Ladi Community 1,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,3,4,150,photo,0.9,Corroborated,0.66,5.0,No Action Yet,,True,True
LMP-00205,2026-01-24,Rivers,Port Harcourt,Port Harcourt Community 7,Safety/Security Concern,"There have been 11 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,1,15,none,0.3,Corroborated,0.69,0.5,In Progress,,True,True
LMP-00206,2026-02-17,Kano,Nassarawa,Nassarawa Community 8,Water Infrastructure,My community has not had water for 11 weeks and the borehole project announced last year has not been completed.,4,4,3000,photo,0.9,Unverified,0.87,23.0,No Action Yet,,True,True
LMP-00207,2026-02-05,Kaduna,Kaduna South,Kaduna South Community 3,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",2,3,3000,voice_note,0.7,Unverified,0.82,6.7,No Action Yet,,False,True
LMP-00208,2026-01-07,Enugu,Nsukka,Nsukka Community 9,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 8 months ago.,4,5,3000,voice_note,0.7,Needs Corroboration,0.82,22.4,No Action Yet,,True,True
LMP-00209,2026-07-28,Cross River,Calabar Municipal,Calabar Municipal Community 1,Education/Infrastructure,"Public school roof collapsed during the storm, 9 pupils now learn under a tree.",2,5,150,none,0.3,Corroborated,0.66,1.4,No Action Yet,,True,True
LMP-00210,2026-08-31,Enugu,Nsukka,Nsukka Community 7,Safety/Security Concern,"There have been 4 reported cases of armed robbery on this road at night, no police patrol has been seen.",4,3,15,text_only,0.5,Needs Corroboration,0.75,2.4,No Action Yet,,True,True
LMP-00211,2026-02-03,Borno,Jere,Jere Community 3,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 3 weeks, causing serious odour and flooding risk.",2,2,15,text_only,0.5,High-Confidence,0.62,0.8,No Action Yet,,True,True
LMP-00212,2026-01-26,Rivers,Obio-Akpor,Obio-Akpor Community 1,Water Infrastructure,My community has not had water for 11 weeks and the borehole project announced last year has not been completed.,4,1,600,none,0.3,High-Confidence,0.75,0.8,Under Review,,True,True
LMP-00213,2026-06-26,Kaduna,Kaduna South,Kaduna South Community 3,Road/Transport Infrastructure,"Bridge construction stopped 12 months ago, commuters now risk crossing on foot.",3,2,600,photo,0.9,Unverified,0.83,3.5,Under Review,,True,True
LMP-00214,2026-01-20,Rivers,Port Harcourt,Port Harcourt Community 1,Abuse/Protection Concern,Reports of a minor being kept out of school for exploitative labour in the local market.,3,3,150,text_only,0.5,Needs Corroboration,0.66,2.1,Under Review,,True,True
LMP-00215,2026-04-23,Oyo,Ibadan South-West,Ibadan South-West Community 3,Electricity/Power,"Transformer in our street has been faulty for 9 months, several complaints filed with no response.",2,2,40,voice_note,0.7,Corroborated,0.9,1.2,No Action Yet,,False,True
LMP-00216,2026-03-23,Rivers,Obio-Akpor,Obio-Akpor Community 8,Community Dispute,Youths from two neighbouring communities clashed over grazing route access.,1,4,150,photo,0.9,Conflicting Reports,0.65,1.7,No Action Yet,,True,True
LMP-00217,2026-08-30,Kano,Nassarawa,Nassarawa Community 6,Road/Transport Infrastructure,"Bridge construction stopped 4 months ago, commuters now risk crossing on foot.",2,1,600,text_only,0.5,Needs Corroboration,0.84,0.6,No Action Yet,,True,True
LMP-00218,2026-05-21,Cross River,Calabar South,Calabar South Community 3,Water Infrastructure,My community has not had water for 7 weeks and the borehole project announced last year has not been completed.,4,4,300,text_only,0.5,Unverified,0.73,4.2,Under Review,,False,True
LMP-00219,2026-01-21,Rivers,Port Harcourt,Port Harcourt Community 6,Water Infrastructure,"The public water tap in our area has been dry since May, residents now trek 3km to fetch water.",4,5,3000,photo,0.9,Unverified,0.63,28.8,No Action Yet,,False,True
LMP-00220,2026-03-09,Kano,Dala,Dala Community 7,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,2,5,1200,photo,0.9,Needs Corroboration,0.94,7.9,Under Review,,False,True
LMP-00221,2026-01-16,Borno,Jere,Jere Community 4,Education/Infrastructure,"Public school roof collapsed during the storm, 4 pupils now learn under a tree.",2,1,600,text_only,0.5,Corroborated,0.77,0.6,No Action Yet,,False,True
LMP-00222,2026-09-06,Anambra,Onitsha North,Onitsha North Community 9,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 9 weeks, causing serious odour and flooding risk.",2,1,80,photo,0.9,Unverified,0.89,0.8,Resolved,2026-09-24,True,True
LMP-00223,2026-05-23,Rivers,Port Harcourt,Port Harcourt Community 7,Electricity/Power,"Transformer in our street has been faulty for 5 months, several complaints filed with no response.",2,5,300,voice_note,0.7,Conflicting Reports,0.88,3.6,No Action Yet,,False,True
LMP-00224,2026-09-04,Anambra,Onitsha North,Onitsha North Community 5,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,2,5,1200,photo,0.9,Needs Corroboration,0.67,7.9,Referred to Authority,,True,True
LMP-00225,2026-06-27,Kano,Nassarawa,Nassarawa Community 5,Suspected Misuse of Public Funds,Road rehabilitation project was marked complete in official records but no visible work was done.,2,4,3000,photo,0.9,Unverified,0.72,11.5,Referred to Authority,,False,True
LMP-00226,2026-06-28,Lagos,Epe,Epe Community 6,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 9 months ago.,5,1,600,text_only,0.5,Unverified,0.73,1.6,Under Review,,True,True
LMP-00227,2026-05-13,Enugu,Enugu East,Enugu East Community 5,Environmental Hazard,Gas flaring near our farmland is affecting crop yield and causing respiratory complaints.,3,1,150,voice_note,0.7,Needs Corroboration,0.95,1.0,Under Review,,True,True
LMP-00228,2026-01-09,Lagos,Eti-Osa,Eti-Osa Community 3,Electricity/Power,"Transformer in our street has been faulty for 10 months, several complaints filed with no response.",2,5,15,photo,0.9,Unverified,0.94,3.7,No Action Yet,,False,True
LMP-00229,2026-05-02,Lagos,Ajeromi-Ifelodun,Ajeromi-Ifelodun Community 4,Education/Infrastructure,No teachers have been posted to our primary school since the last academic session.,2,1,15,photo,0.9,Needs Corroboration,0.8,0.7,Resolved,2026-06-13,True,True
LMP-00230,2026-04-15,Oyo,Ibadan North,Ibadan North Community 5,Electricity/Power,"Transformer in our street has been faulty for 2 months, several complaints filed with no response.",2,5,150,video,0.95,Corroborated,0.85,4.4,No Action Yet,,True,True
LMP-00231,2026-04-30,Lagos,Epe,Epe Community 3,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 5 accidents reported.",3,3,300,voice_note,0.7,Needs Corroboration,0.76,3.3,No Action Yet,,True,True
LMP-00232,2026-06-13,Anambra,Nnewi North,Nnewi North Community 7,Abuse/Protection Concern,A vulnerable community member is reportedly being denied access to support services by a local intermediary.,5,3,300,voice_note,0.7,Unverified,0.66,5.5,Resolved,2026-07-08,True,True
LMP-00233,2026-03-17,Kaduna,Zaria,Zaria Community 5,Healthcare Access,The primary health centre has no drugs in stock and the only nurse resigned 10 months ago.,5,5,1200,text_only,0.5,Corroborated,0.87,11.0,Referred to Authority,,True,True
LMP-00234,2026-08-04,Plateau,Jos South,Jos South Community 7,Water Infrastructure,"Contractors abandoned the water scheme project midway, pipes are left exposed on the road.",3,2,3000,video,0.95,Needs Corroboration,0.86,9.1,In Progress,,True,True
LMP-00235,2026-08-16,Kaduna,Kaduna North,Kaduna North Community 8,Road/Transport Infrastructure,"Bridge construction stopped 10 months ago, commuters now risk crossing on foot.",4,3,40,photo,0.9,Conflicting Reports,0.7,4.5,Under Review,,True,True
LMP-00236,2026-05-16,Oyo,Ibadan South-West,Ibadan South-West Community 5,Environmental Hazard,"Waste has not been evacuated from this dumpsite in 9 weeks, causing serious odour and flooding risk.",4,5,40,text_only,0.5,Unverified,0.69,4.2,Referred to Authority,,True,True
LMP-00237,2026-06-11,Plateau,Jos North,Jos North Community 3,Road/Transport Infrastructure,"The road linking our community to the main highway has been impassable since the rains started, 7 accidents reported.",4,4,80,voice_note,0.7,Corroborated,0.88,4.8,Under Review,,True,True
LMP-00238,2026-06-12,Oyo,Egbeda,Egbeda Community 1,Water Infrastructure,"The public water tap in our area has been dry since March, residents now trek 6km to fetch water.",4,2,80,text_only,0.5,Unverified,0.89,1.7,Referred to Authority,,False,True
